Ontology(abbreviation=PATO, label=Phenotypic quality, ontologyAccession=1107)
Ontology(abbreviation=MEDO, label=Mouse Experimental Design Ontology, ontologyAccession=3180)
Ontology(abbreviation=ECGF, label=ECG Findings, ontologyAccession=2073)
Ontology(abbreviation=CTCAE, label=Common Terminology Criteria for Adverse Events, ontologyAccession=1415)
Ontology(abbreviation=LSM, label=Leukocyte Surface Markers, ontologyAccession=1520)
Ontology(abbreviation=ADW, label=Animal natural history and life history, ontologyAccession=1530)
Ontology(abbreviation=EpilepOnto, label=Epilepsy, ontologyAccession=1639)
Ontology(abbreviation=OoEVV, label=Ontology of Experimental Variables and Values, ontologyAccession=3006)
Ontology(abbreviation=CareLex, label=CareLex, ontologyAccession=3008)
Ontology(abbreviation=uni-ece, label=uni-ece, ontologyAccession=3048)
Ontology(abbreviation=ooevv-vaccine, label=OoEVV vaccine protection experiments , ontologyAccession=2109)
Ontology(abbreviation=ooevv-tractTrace, label=OoEVV tract tracing experiments , ontologyAccession=2108)
Ontology(abbreviation=SciRes, label=Scientific Research Resources, ontologyAccession=2122)
Ontology(abbreviation=ICD9CM-PROC, label=ICD9CM Procedures, ontologyAccession=2124)
Ontology(abbreviation=UO, label=Units of measurement, ontologyAccession=1112)
Ontology(abbreviation=PHARE, label=PHArmacogenomic RElationships Ontology, ontologyAccession=1550)
Ontology(abbreviation=SHR, label=Student Health Record, ontologyAccession=1665)
Ontology(abbreviation=HOM-MDCDRG, label=HOM-MDCDRG, ontologyAccession=3046)
Ontology(abbreviation=OntoMA, label=SANOU, ontologyAccession=3090)
Ontology(abbreviation=Genomic-CDS, label=Genomic Clinical Decision Support - Genomic CDS, ontologyAccession=3179)
Ontology(abbreviation=H2_HIPClassicRegions, label=NeuroMorpho.Org hippocampal regions, ontologyAccession=2081)
Ontology(abbreviation=H3_HIPSeptotemporalAxis, label=NeuroMorpho.Org longitudinal hippocampal regions, ontologyAccession=2082)
Ontology(abbreviation=OBOE, label=Extensible Observation Ontology, ontologyAccession=1524)
Ontology(abbreviation=IxnO, label=Interaction Ontology, ontologyAccession=1614)
Ontology(abbreviation=BO, label=BOOK, ontologyAccession=3059)
Ontology(abbreviation=MDRFRE, label=MDRFRE, ontologyAccession=2104)
Ontology(abbreviation=geopolitical, label=Geopolitical, ontologyAccession=2112)
Ontology(abbreviation=MCV, label=MIxS Controlled Vocabularies, ontologyAccession=3000)
Ontology(abbreviation=PhenX, label=PhenX Terms, ontologyAccession=3078)
Ontology(abbreviation=CPT-mod, label=CPT modifiers, ontologyAccession=2126)
Ontology(abbreviation=HCPCS-mod, label=HCPCS modifiers, ontologyAccession=2125)
Ontology(abbreviation=provenance, label=Provenance, ontologyAccession=2120)
Ontology(abbreviation=foaf, label=FOAF (people, organizations, groups), ontologyAccession=2119)
Ontology(abbreviation=FaBiO, label=FaBiO (bibliographic), ontologyAccession=2118)
Ontology(abbreviation=RID, label=RadLex, ontologyAccession=1057)
Ontology(abbreviation=WSIO, label=Web-Service Interaction Ontology, ontologyAccession=1632)
Ontology(abbreviation=skos, label=SKOS (concepts), ontologyAccession=2121)
Ontology(abbreviation=event, label=Event, ontologyAccession=2117)
Ontology(abbreviation=citation, label=Citation Counting, ontologyAccession=2114)
Ontology(abbreviation=geospecies, label=GeoSpecies Ontology, ontologyAccession=1247)
Ontology(abbreviation=prov-o, label=PROV-O, ontologyAccession=3131)
Ontology(abbreviation=test1, label=test1, ontologyAccession=2101)
Ontology(abbreviation=dcterms, label=dcterms, ontologyAccession=2116)
Ontology(abbreviation=dcelements, label=dcelements, ontologyAccession=2115)
Ontology(abbreviation=documentStatus, label= documentStatus individuals, ontologyAccession=2111)
Ontology(abbreviation=DTVPrecision, label=dateTimeValuePrecision individuals, ontologyAccession=2110)
Ontology(abbreviation=MIRO, label=Mosquito insecticide resistance, ontologyAccession=1077)
Ontology(abbreviation=SOY, label=SoyOntology, ontologyAccession=3028)
Ontology(abbreviation=bibliographic, label=Bibliographic, ontologyAccession=2113)
Ontology(abbreviation=ONSTR, label=Ontology for Newborn Screening, Follow-up and Translational Research, ontologyAccession=3137)
Ontology(abbreviation=GeXO, label=Gene Expression Ontology, ontologyAccession=3151)
Ontology(abbreviation=ReXO, label=Regulation of Gene Expression Ontolology, ontologyAccession=3152)
Ontology(abbreviation=ReTO, label=Regulation of Transcription Ontolology, ontologyAccession=3162)
Ontology(abbreviation=VSAO, label=Vertebrate Skeletal Anatomy Ontology, ontologyAccession=1555)
Ontology(abbreviation=MP, label=Mammalian phenotype, ontologyAccession=1025)
Ontology(abbreviation=miRNAO, label=microRNA Ontology, ontologyAccession=3139)
Ontology(abbreviation=IDOMAL, label=Malaria Ontology, ontologyAccession=1311)
Ontology(abbreviation=TO, label=Plant Trait Ontology, ontologyAccession=1037)
Ontology(abbreviation=WBPhenotype, label=C. elegans phenotype, ontologyAccession=1067)
Ontology(abbreviation=SPD, label=Spider Ontology, ontologyAccession=1091)
Ontology(abbreviation=CNO, label=Computational Neuroscience Ontology, ontologyAccession=3003)
Ontology(abbreviation=Top-Menelas, label=Top-Menelas, ontologyAccession=3189)
Ontology(abbreviation=LHN, label=Loggerhead nesting, ontologyAccession=1024)
Ontology(abbreviation=HAO, label=Hymenoptera Anatomy Ontology, ontologyAccession=1362)
Ontology(abbreviation=AEO, label=Anatomical Entity Ontology, ontologyAccession=1568)
Ontology(abbreviation=VSO, label=Vital Sign Ontology, ontologyAccession=3124)
Ontology(abbreviation=IDO, label=Infectious Disease Ontology, ontologyAccession=1092)
Ontology(abbreviation=H1_NMOABA, label=NeuroMorpho.Org Allen Brain Atlas ontology, ontologyAccession=2074)
Ontology(abbreviation=H1_NMOABA, label= NeuroMorpho.Org Allen Brain Atlas ontology, ontologyAccession=2078)
Ontology(abbreviation=PW, label=Pathway ontology, ontologyAccession=1035)
Ontology(abbreviation=OntoDT, label=Ontology of General Purpose Datatypes, ontologyAccession=1588)
Ontology(abbreviation=GlycO, label=Glycomics-Ontology, ontologyAccession=3169)
Ontology(abbreviation=ThomCan, label=ThomCan: Upper-level Cancer Ontology , ontologyAccession=3178)
Ontology(abbreviation=BRO, label=Biomedical Resource Ontology, ontologyAccession=1104)
Ontology(abbreviation=EO, label=Plant environmental conditions, ontologyAccession=1036)
Ontology(abbreviation=MPATH, label=Mouse pathology, ontologyAccession=1031)
Ontology(abbreviation=TEDDY, label=Terminology for the Description of Dynamics, ontologyAccession=1407)
Ontology(abbreviation=PFO, label=Phenotype Fragment Ontology, ontologyAccession=3049)
Ontology(abbreviation=ECO, label=Evidence codes, ontologyAccession=1012)
Ontology(abbreviation=MMO, label=Measurement Method Ontology, ontologyAccession=1584)
Ontology(abbreviation=FBdv, label=Drosophila development, ontologyAccession=1016)
Ontology(abbreviation=APO, label=Ascomycete phenotype ontology, ontologyAccession=1222)
Ontology(abbreviation=YPO, label=Yeast phenotypes, ontologyAccession=1115)
Ontology(abbreviation=OGMD, label=Ontology of Glucose Metabolism Disorder, ontologyAccession=1085)
Ontology(abbreviation=XCO, label=Experimental Conditions Ontology, ontologyAccession=1585)
Ontology(abbreviation=BRIDG, label=The Biomedical Research Integrated Domain Group (BRIDG) model, ontologyAccession=3150)
Ontology(abbreviation=CDAO, label=Comparative Data Analysis Ontology, ontologyAccession=1128)
Ontology(abbreviation=vivo, label=VIVO, ontologyAccession=1699)
Ontology(abbreviation=XeO, label=XEML Environment Ontology, ontologyAccession=3176)
Ontology(abbreviation=PathLex, label=Anatomic Pathology Lexicon (PathLex), ontologyAccession=3190)
Ontology(abbreviation=BSPO, label=Spatial Ontology, ontologyAccession=1078)
Ontology(abbreviation=TAXRANK, label=Taxonomic rank vocabulary, ontologyAccession=1419)
Ontology(abbreviation=OMRSE, label=Ontology of Medically Related Social Entities, ontologyAccession=1565)
Ontology(abbreviation=ECGT, label=ECG Terms, ontologyAccession=2079)
Ontology(abbreviation=OBIws, label=Bioinformatics Web Service Ontology, ontologyAccession=3119)
Ontology(abbreviation=NEMO, label=Neural ElectroMagnetic Ontologies, ontologyAccession=1321)
Ontology(abbreviation=OPL, label=Ontology for Parasite LifeCycle, ontologyAccession=1190)
Ontology(abbreviation=NIAID-GSC-BRC, label=NIAID GSC and BRC View, ontologyAccession=2127)
Ontology(abbreviation=CogPO, label=Cognitive Paradigm Ontology, ontologyAccession=1560)
Ontology(abbreviation=OCRe, label=Ontology of Clinical Research (OCRe), ontologyAccession=1076)
Ontology(abbreviation=KiSAO, label=Kinetic Simulation Algorithm Ontology, ontologyAccession=1410)
Ontology(abbreviation=ICD10PCS, label=ICD-10-PCS, ontologyAccession=1425)
Ontology(abbreviation=EHDAA2, label=Human developmental anatomy, abstract version, v2, ontologyAccession=1517)
Ontology(abbreviation=CHEMINF, label=Chemical Information Ontology, ontologyAccession=1444)
Ontology(abbreviation=TMO, label=Translational Medicine Ontology, ontologyAccession=1461)
Ontology(abbreviation=OAE, label=Ontology of Adverse Events, ontologyAccession=1489)
Ontology(abbreviation=OMIT, label=Ontology for MicroRNA Target Prediction, ontologyAccession=1505)
Ontology(abbreviation=HL7, label=Health Level Seven, ontologyAccession=1343)
Ontology(abbreviation=EDAM, label=Bioinformatics operations, types of data, data formats, and topics, ontologyAccession=1498)
Ontology(abbreviation=IMGT, label=IMGT-ONTOLOGY, ontologyAccession=1491)
Ontology(abbreviation=ICPS, label=ICPS Network, ontologyAccession=1509)
Ontology(abbreviation=CCO, label=Cell Cycle Ontology, ontologyAccession=1507)
Ontology(abbreviation=JERM, label=SysMO-JERM, ontologyAccession=1488)
Ontology(abbreviation=HSDB_OCRe, label=HSDB OCRe view, ontologyAccession=2100)
Ontology(abbreviation=HOM_EHS, label=HOM_ElixhauserScores, ontologyAccession=1578)
Ontology(abbreviation=HOM_MDCs_DRGs, label=HOM_MDCs-DRGS, ontologyAccession=1596)
Ontology(abbreviation=HOM-I9PCS, label=HOM-ICD9PCS, ontologyAccession=1625)
Ontology(abbreviation=HOMERUN, label=HOMERUN Ontology, ontologyAccession=1627)
Ontology(abbreviation=HOM-UCARE, label=HOM-UCARE, ontologyAccession=1629)
Ontology(abbreviation=HOM-EPIC, label=HOM-EPIC, ontologyAccession=1630)
Ontology(abbreviation=HOM-I9-ECODES, label=HOM-ICD9CM-ECODES, ontologyAccession=1641)
Ontology(abbreviation=HOM-DXPCS_MDCDRG, label=HOM-DXPROCS_MDCDRG, ontologyAccession=1642)
Ontology(abbreviation=HOM-PCS_OSHPD, label=HOM-ICD9_PROCS_OSHPD, ontologyAccession=1643)
Ontology(abbreviation=HOM-VCODES_OSHPD, label=HOM-ICD9_DXandVCODES_OSHPD, ontologyAccession=1647)
Ontology(abbreviation=HOM-SRCE_OSHPD, label=HOM-DATASOURCE_OSHPD, ontologyAccession=1648)
Ontology(abbreviation=HOM-OSHPD, label=HOM-OSHPD, ontologyAccession=1649)
Ontology(abbreviation=HOM-OSHPD_UseCas, label=HOM-OSHPD_UseCase, ontologyAccession=1652)
Ontology(abbreviation=HOM-PROCS2, label=HOM-PROCS2_OSHPD, ontologyAccession=1653)
Ontology(abbreviation=HOM-DXVCODES2, label=HOM-DXVCODES2_OSHPD, ontologyAccession=1654)
Ontology(abbreviation=EPIC-SRC, label=HOM-DATASOURCE_EPIC, ontologyAccession=1660)
Ontology(abbreviation=HOM-TX, label=HOM-Transplant Ontology, ontologyAccession=1661)
Ontology(abbreviation=SRC-OSHPDSC, label=HOM-DATASOURCE_OSHPDSC, ontologyAccession=1667)
Ontology(abbreviation=HOM-OSHPD-SC, label=HOM-OSHPD-SC, ontologyAccession=1668)
Ontology(abbreviation=ICDO3, label=ICD_Oncology-3, ontologyAccession=1670)
Ontology(abbreviation=CEEROntology, label=CEEROntology, ontologyAccession=1675)
Ontology(abbreviation=TestHDB, label=Human disease in Bioactivity, ontologyAccession=1682)
Ontology(abbreviation=yipd, label=yipd_test, ontologyAccession=1691)
Ontology(abbreviation=ICD9toICD10PCS, label=HOM-I9toI10PCS-Maps, ontologyAccession=1693)
Ontology(abbreviation=HOM-CPT, label=HOM-CPT, ontologyAccession=1694)
Ontology(abbreviation=HOM-ORTHO, label=HOM-ORTHO, ontologyAccession=1697)
Ontology(abbreviation=DATASRC-ORTHO, label=HOM-DATASRC-ORTHO, ontologyAccession=1698)
Ontology(abbreviation=HOM-ORTHOSURG, label=HOM-ORTHOSURGERY, ontologyAccession=1701)
Ontology(abbreviation=eufut, label=Eurofut, ontologyAccession=1702)
Ontology(abbreviation=HOM-I9I10MAPS, label=HOM-I9TO10MAPS, ontologyAccession=3001)
Ontology(abbreviation=HOM-ICU, label=HOM-ICU, ontologyAccession=3007)
Ontology(abbreviation=PhyMeRe, label=Physical Medicine and Rehabilitation, ontologyAccession=3014)
Ontology(abbreviation=GCC, label=Gastroenterology Clinical Cases , ontologyAccession=3017)
Ontology(abbreviation=HOM-PCSTEST, label=HOM-PCSTEST, ontologyAccession=3018)
Ontology(abbreviation=ATC, label=Anatomical Therapeutic Chemical (ATC) Classification (OWL version), ontologyAccession=3021)
Ontology(abbreviation=PTSD, label=PTSD, ontologyAccession=3024)
Ontology(abbreviation=QUDT, label=Quantities, Units, Dimensions and Types, ontologyAccession=3031)
Ontology(abbreviation=HOM-UPENNMEDS, label=HOM-UPENN_EPICMEDS, ontologyAccession=3032)
Ontology(abbreviation=thesaurus, label=thesaurus, ontologyAccession=3034)
Ontology(abbreviation=ontologia, label=Ontologia proj alternativa, ontologyAccession=3035)
Ontology(abbreviation=thealternativa, label=thesaurus alternativa, ontologyAccession=3037)
Ontology(abbreviation=HOM-TEST, label=HOM-TEST, ontologyAccession=3038)
Ontology(abbreviation=HOM-MEDABBS, label=HOM-MEDABBS, ontologyAccession=3043)
Ontology(abbreviation=HOM-TESTKM, label=HOM-TESTKM, ontologyAccession=3044)
Ontology(abbreviation=HOM-I9CM, label=HOM-ICD9CM, ontologyAccession=3045)
Ontology(abbreviation=HOM-DEMOGR, label=HOM-DEMOGR, ontologyAccession=3047)
Ontology(abbreviation=PhenXTK, label=PhenX Toolkit , ontologyAccession=3050)
Ontology(abbreviation=HOM-DATSRCTESTo, label=HOM-DATASRC_TEST_old, ontologyAccession=3061)
Ontology(abbreviation=i2b2-patvisdims, label=i2b2-patient_visit_dimensions, ontologyAccession=3062)
Ontology(abbreviation=HOM-DATASRCTESTn, label=HOM-DATASRC_TEST_new, ontologyAccession=3064)
Ontology(abbreviation=HOM-EPICI2B2, label=HOM-EPICI2B2TEST, ontologyAccession=3065)
Ontology(abbreviation=OntoDM-KDD, label=Ontology of Data Mining Investigations, ontologyAccession=3077)
Ontology(abbreviation=HOMICD910PCS-150, label=HOM-ICD910PCS-150, ontologyAccession=3080)
Ontology(abbreviation=dsfs, label=Moja ontologija, ontologyAccession=3081)
Ontology(abbreviation=HOM-I910TESTPLUS, label=HOM-I910TESTPLUS, ontologyAccession=3084)
Ontology(abbreviation=DwC_translations, label=Darwin Core translations, ontologyAccession=3085)
Ontology(abbreviation=HOM-ORTHOTEST, label=HOM-ORTHOTEST, ontologyAccession=3087)
Ontology(abbreviation=HOM-OCHILDTEST, label=HOM-ORTHOCHILDTEST, ontologyAccession=3089)
Ontology(abbreviation=HOM-CLINIC, label=HOM-CLINIC Ontology, ontologyAccession=3092)
Ontology(abbreviation=DwC_test, label=Darwin Core terms (test), ontologyAccession=3094)
Ontology(abbreviation=HOM-OCC, label=HOM-OCCUPATION Ontology, ontologyAccession=3104)
Ontology(abbreviation=DC_test, label=GBIF_test, ontologyAccession=3105)
Ontology(abbreviation=pco, label=Population and Community Ontology, ontologyAccession=3120)
Ontology(abbreviation=profectus.oshpd.installation.5931, label=profectus.oshpd.installation, ontologyAccession=3125)
Ontology(abbreviation=nhds.13896, label=nhds, ontologyAccession=3134)
Ontology(abbreviation=cms.36739, label=cms, ontologyAccession=3135)
Ontology(abbreviation=HOM-NHDS, label=HOM-NHDS, ontologyAccession=3136)
Ontology(abbreviation=I9I10CMMOST, label=HOM-I9I10CMMOST, ontologyAccession=3143)
Ontology(abbreviation=HOM-CMS, label=HOM-CMS, ontologyAccession=3146)
Ontology(abbreviation=Clinical_Eval, label=Clinical Evaluation, ontologyAccession=3147)
Ontology(abbreviation=oshpd.33038, label=oshpd, ontologyAccession=3154)
Ontology(abbreviation=chi.63559, label=chi, ontologyAccession=3156)
Ontology(abbreviation=GeneTrial, label=GeneTrial Ontology, ontologyAccession=3157)
Ontology(abbreviation=HOM-CHI, label=HOM-CHI, ontologyAccession=3163)
Ontology(abbreviation=HOM-CHICMS, label=HOM-CHICMS, ontologyAccession=3164)
Ontology(abbreviation=HOM-GLOB, label=HOM-GLOB, ontologyAccession=3167)
Ontology(abbreviation=shrine.20676, label=shrine, ontologyAccession=3172)
Ontology(abbreviation=MetaCT, label=MetaCT Ontology, ontologyAccession=3175)
Ontology(abbreviation=gs1, label=gs1, ontologyAccession=3177)
Ontology(abbreviation=bd-test2, label=BD Test2, ontologyAccession=3182)
Ontology(abbreviation=ZIP3, label=3 Digit Zipcodes, ontologyAccession=3184)
Ontology(abbreviation=GPI, label=GPI Medications, ontologyAccession=3185)
Ontology(abbreviation=LOINC, label=i2b2 Labs, ontologyAccession=3186)
Ontology(abbreviation=avnguyen-test1, label=avnguyen-test1, ontologyAccession=3187)
Ontology(abbreviation=avnguyen-test2, label=avnguyen-test2, ontologyAccession=3188)
Ontology(abbreviation=MPO, label=Microbial Phenotype Ontology, ontologyAccession=3191)
Ontology(abbreviation=MCCV, label=Microbial Culture Collection Vocabulary, ontologyAccession=3192)
Ontology(abbreviation=journal-test, label=journal-test, ontologyAccession=3193)
Ontology(abbreviation=Phenoscape-ext, label=Phenoscape-ext, ontologyAccession=3194)
Ontology(abbreviation=ICD09, label=ICD09, ontologyAccession=3195)
Ontology(abbreviation=testvdb, label=testsite_testvdb_schema_8816795770933807428.owl, ontologyAccession=3196)
Ontology(abbreviation=HIMC-CPT, label=CPT Codes, ontologyAccession=3197)
Ontology(abbreviation=BIOA3v, label=BIOA3view, ontologyAccession=2107)
Ontology(abbreviation=CO, label=Crop Ontology, ontologyAccession=1544)
Ontology(abbreviation=pharmgkb-owl, label=PharmGKB-in-OWL, ontologyAccession=1655)
Ontology(abbreviation=phenomeblast-owl, label=PhenomeBLAST ontology, ontologyAccession=1656)
Ontology(abbreviation=CAMRQ, label=Quadrupedal Gait, ontologyAccession=1657)
Ontology(abbreviation=MEO, label=Metagenome/Microbes Environmental Ontology, ontologyAccession=3009)
Ontology(abbreviation=DwC, label=Darwin Core Terms, ontologyAccession=3058)
Ontology(abbreviation=NDDF, label=National Drug Data File, ontologyAccession=1424)
Ontology(abbreviation=MDDB, label=Master Drug Data Base, ontologyAccession=1426)
Ontology(abbreviation=CPT, label=Current Procedural Terminology, ontologyAccession=1504)
Ontology(abbreviation=MSH, label=Medical Subject Headings (MeSH), ontologyAccession=1351)
Ontology(abbreviation=GAZ, label=Gazetteer, ontologyAccession=1397)
Ontology(abbreviation=OBO_REL, label=OBO relationship types, ontologyAccession=1042)
Ontology(abbreviation=RXNORM, label=RxNORM, ontologyAccession=1423)
Ontology(abbreviation=VANDF, label=Veterans Health Administration National Drug File, ontologyAccession=1527)
Ontology(abbreviation=HCPCS, label=Healthcare Common Procedure Coding System, ontologyAccession=1529)
Ontology(abbreviation=RXNORM, label=RXNORM, ontologyAccession=2066)
Ontology(abbreviation=SNOMEDCT-CORE, label=CORE Subset of SNOMED CT, ontologyAccession=2040)
Ontology(abbreviation=HC, label=Habronattus courtship, ontologyAccession=1020)
